state,hospital,bedsAvailable,totalBeds,ventilatorsAvailable,resourcesDispatched,phoneLabel,phone,sourceUrl,lastUpdated
Haryana,Civil Hospital Karnal,10,80,8,2,Ambulance,108,https://haryanahealth.nic.in/,2026-01-05T18:00:00.000Z
Haryana,Civil Hospital Sonipat,10,80,8,2,State Control Room,104,https://haryanahealth.nic.in/,2026-01-05T18:00:00.000Z
Haryana,Civil Hospital Yamunanagar,8,70,6,2,Ambulance,108,https://haryanahealth.nic.in/,2026-01-05T18:00:00.000Z

Himachal Pradesh,IGMC Shimla,12,90,10,3,Ambulance,108,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Dr RPGMC Tanda,10,80,8,3,Ambulance,108,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Zonal Hospital Dharamshala,8,70,6,2,State Control Room,104,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Zonal Hospital Hamirpur,8,70,6,2,Ambulance,108,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Civil Hospital Solan,6,60,5,1,Ambulance,108,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Civil Hospital Una,6,60,5,1,Ambulance,108,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Civil Hospital Mandi,6,60,5,1,State Control Room,104,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Civil Hospital Nahan,6,60,5,1,Ambulance,108,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z

Madhya Pradesh,Hamidia Hospital Bhopal,24,170,22,8,Ambulance,108,https://health.mp.gov.in/,2026-01-05T18:00:00.000Z
Madhya Pradesh,MGM Medical College Indore,22,160,20,7,Ambulance,108,https://health.mp.gov.in/,2026-01-05T18:00:00.000Z
Madhya Pradesh,Gandhi Medical College Bhopal,20,150,18,6,Ambulance,108,https://health.mp.gov.in/,2026-01-05T18:00:00.000Z
Madhya Pradesh,NSCB Medical College Jabalpur,18,140,16,5,Ambulance,108,https://health.mp.gov.in/,2026-01-05T18:00:00.000Z
Madhya Pradesh,Gajra Raja Medical College Gwalior,16,130,14,4,State Control Room,104,https://health.mp.gov.in/,2026-01-05T18:00:00.000Z
Madhya Pradesh,Bundelkhand Medical College Sagar,14,120,12,4,Ambulance,108,https://health.mp.gov.in/,2026-01-05T18:00:00.000Z
Madhya Pradesh,Shyam Shah Medical College Rewa,12,110,10,3,Ambulance,108,https://health.mp.gov.in/,2026-01-05T18:00:00.000Z
Madhya Pradesh,Government Medical College Ratlam,10,100,8,2,Ambulance,108,https://health.mp.gov.in/,2026-01-05T18:00:00.000Z

Maharashtra,KEM Hospital Mumbai,32,240,28,10,Ambulance,108,https://www.maharashtra.gov.in/,2026-01-05T18:00:00.000Z
Maharashtra,Nair Hospital Mumbai,28,200,24,9,Ambulance,108,https://www.maharashtra.gov.in/,2026-01-05T18:00:00.000Z
Maharashtra,JJ Hospital Mumbai,26,190,22,8,Ambulance,108,https://www.maharashtra.gov.in/,2026-01-05T18:00:00.000Z
Maharashtra,Sassoon Hospital Pune,24,180,20,7,Ambulance,108,https://www.maharashtra.gov.in/,2026-01-05T18:00:00.000Z
Maharashtra,Government Medical College Nagpur,22,170,18,6,Ambulance,108,https://www.maharashtra.gov.in/,2026-01-05T18:00:00.000Z
Maharashtra,Government Medical College Aurangabad,20,160,16,5,State Control Room,104,https://www.maharashtra.gov.in/,2026-01-05T18:00:00.000Z
Maharashtra,Government Medical College Kolhapur,18,150,14,4,Ambulance,108,https://www.maharashtra.gov.in/,2026-01-05T18:00:00.000Z
Maharashtra,Government Medical College Solapur,16,140,12,4,Ambulance,108,https://www.maharashtra.gov.in/,2026-01-05T18:00:00.000Z

Odisha,SCB Medical College Cuttack,26,190,22,8,Ambulance,108,https://health.odisha.gov.in/,2026-01-05T18:00:00.000Z
Odisha,AIIMS Bhubaneswar,24,180,20,7,Ambulance,108,https://health.odisha.gov.in/,2026-01-05T18:00:00.000Z
Odisha,VIMSAR Burla,20,160,18,6,Ambulance,108,https://health.odisha.gov.in/,2026-01-05T18:00:00.000Z
Odisha,MKCG Medical College Berhampur,18,150,16,5,Ambulance,108,https://health.odisha.gov.in/,2026-01-05T18:00:00.000Z
Odisha,FM Medical College Balasore,16,140,14,4,Ambulance,108,https://health.odisha.gov.in/,2026-01-05T18:00:00.000Z
Odisha,SLN Medical College Koraput,14,120,12,4,State Control Room,104,https://health.odisha.gov.in/,2026-01-05T18:00:00.000Z
Odisha,Pandit Raghunath Murmu Medical College Baripada,12,110,10,3,Ambulance,108,https://health.odisha.gov.in/,2026-01-05T18:00:00.000Z
Odisha,GMC Sundargarh,10,100,8,2,Ambulance,108,https://health.odisha.gov.in/,2026-01-05T18:00:00.000Z

Manipur,RIMS Imphal,14,120,12,4,Ambulance,108,https://healthmanipur.gov.in/,2026-01-05T18:00:00.000Z
Manipur,JNIMS Imphal,12,100,10,3,Ambulance,108,https://healthmanipur.gov.in/,2026-01-05T18:00:00.000Z
Manipur,Churachandpur District Hospital,8,60,6,2,State Control Room,104,https://healthmanipur.gov.in/,2026-01-05T18:00:00.000Z
Manipur,Thoubal District Hospital,8,60,6,2,Ambulance,108,https://healthmanipur.gov.in/,2026-01-05T18:00:00.000Z
Manipur,Bishnupur District Hospital,6,50,5,1,Ambulance,108,https://healthmanipur.gov.in/,2026-01-05T18:00:00.000Z
Manipur,Ukhrul District Hospital,6,50,5,1,State Control Room,104,https://healthmanipur.gov.in/,2026-01-05T18:00:00.000Z
Manipur,Senapati District Hospital,6,50,5,1,Ambulance,108,https://healthmanipur.gov.in/,2026-01-05T18:00:00.000Z
Manipur,Imphal East District Hospital,6,50,5,1,Ambulance,108,https://healthmanipur.gov.in/,2026-01-05T18:00:00.000Z

Meghalaya,NEIGRIHMS Shillong,16,130,14,5,Ambulance,108,https://meghealth.gov.in/,2026-01-05T18:00:00.000Z
Meghalaya,Shillong Civil Hospital,12,100,10,3,Ambulance,108,https://meghealth.gov.in/,2026-01-05T18:00:00.000Z
Meghalaya,Tura District Hospital,8,70,6,2,State Control Room,104,https://meghealth.gov.in/,2026-01-05T18:00:00.000Z
Meghalaya,Jowai Civil Hospital,8,70,6,2,Ambulance,108,https://meghealth.gov.in/,2026-01-05T18:00:00.000Z
Meghalaya,Nongpoh Civil Hospital,6,60,5,1,Ambulance,108,https://meghealth.gov.in/,2026-01-05T18:00:00.000Z
Meghalaya,Williamnagar Civil Hospital,6,60,5,1,State Control Room,104,https://meghealth.gov.in/,2026-01-05T18:00:00.000Z
Meghalaya,Khliehriat Civil Hospital,6,60,5,1,Ambulance,108,https://meghealth.gov.in/,2026-01-05T18:00:00.000Z
Meghalaya,Mawkyrwat Civil Hospital,6,60,5,1,Ambulance,108,https://meghealth.gov.in/,2026-01-05T18:00:00.000Z

Mizoram,Zoram Medical College Falkawn,14,110,12,4,Ambulance,108,https://health.mizoram.gov.in/,2026-01-05T18:00:00.000Z
Mizoram,Aizawl Civil Hospital,10,90,8,3,Ambulance,108,https://health.mizoram.gov.in/,2026-01-05T18:00:00.000Z
Mizoram,Lunglei Civil Hospital,8,70,6,2,State Control Room,104,https://health.mizoram.gov.in/,2026-01-05T18:00:00.000Z
Mizoram,Champhai Civil Hospital,6,60,5,1,Ambulance,108,https://health.mizoram.gov.in/,2026-01-05T18:00:00.000Z
Mizoram,Kolasib Civil Hospital,6,60,5,1,Ambulance,108,https://health.mizoram.gov.in/,2026-01-05T18:00:00.000Z
Mizoram,Serchhip Civil Hospital,6,60,5,1,State Control Room,104,https://health.mizoram.gov.in/,2026-01-05T18:00:00.000Z
Mizoram,Lawngtlai Civil Hospital,6,60,5,1,Ambulance,108,https://health.mizoram.gov.in/,2026-01-05T18:00:00.000Z
Mizoram,Saitual Civil Hospital,6,60,5,1,Ambulance,108,https://health.mizoram.gov.in/,2026-01-05T18:00:00.000Z

Nagaland,Naga Hospital Kohima,12,100,10,3,Ambulance,108,https://health.nagaland.gov.in/,2026-01-05T18:00:00.000Z
Nagaland,Dimapur District Hospital,10,90,8,3,Ambulance,108,https://health.nagaland.gov.in/,2026-01-05T18:00:00.000Z
Nagaland,Mokokchung District Hospital,8,70,6,2,State Control Room,104,https://health.nagaland.gov.in/,2026-01-05T18:00:00.000Z
Nagaland,Wokha District Hospital,6,60,5,1,Ambulance,108,https://health.nagaland.gov.in/,2026-01-05T18:00:00.000Z
Nagaland,Tuensang District Hospital,6,60,5,1,Ambulance,108,https://health.nagaland.gov.in/,2026-01-05T18:00:00.000Z
Nagaland,Zunheboto District Hospital,6,60,5,1,State Control Room,104,https://health.nagaland.gov.in/,2026-01-05T18:00:00.000Z
Nagaland,Phek District Hospital,6,60,5,1,Ambulance,108,https://health.nagaland.gov.in/,2026-01-05T18:00:00.000Z
Nagaland,Mon District Hospital,6,60,5,1,Ambulance,108,https://health.nagaland.gov.in/,2026-01-05T18:00:00.000Z

Jharkhand,RIMS Ranchi,16,120,14,5,Ambulance,108,https://health.jharkhand.gov.in/,2026-01-05T18:00:00.000Z
Jharkhand,CMCH Ranchi,14,100,12,4,Ambulance,108,https://health.jharkhand.gov.in/,2026-01-05T18:00:00.000Z
Jharkhand,Sadar Hospital Bokaro,12,90,10,3,State Control Room,104,https://health.jharkhand.gov.in/,2026-01-05T18:00:00.000Z
Jharkhand,Patliputra Medical College Hazaribagh,10,80,8,2,Ambulance,108,https://health.jharkhand.gov.in/,2026-01-05T18:00:00.000Z
Jharkhand,Giridih District Hospital,10,80,8,2,Ambulance,108,https://health.jharkhand.gov.in/,2026-01-05T18:00:00.000Z
Jharkhand,Dumka District Hospital,8,70,6,2,State Control Room,104,https://health.jharkhand.gov.in/,2026-01-05T18:00:00.000Z
Jharkhand,Jamtara District Hospital,8,70,6,2,Ambulance,108,https://health.jharkhand.gov.in/,2026-01-05T18:00:00.000Z
Jharkhand,Deoghar District Hospital,8,70,6,2,Ambulance,108,https://health.jharkhand.gov.in/,2026-01-05T18:00:00.000Z

Tripura,Agartala Government Medical College,12,90,10,3,Ambulance,108,https://tripurahealth.gov.in/,2026-01-05T18:00:00.000Z
Tripura,Gobind Ballabh Pant Hospital,10,80,8,3,State Control Room,104,https://tripurahealth.gov.in/,2026-01-05T18:00:00.000Z
Tripura,Agartala Civil Hospital,8,70,6,2,Ambulance,108,https://tripurahealth.gov.in/,2026-01-05T18:00:00.000Z
Tripura,Udaipur District Hospital,8,70,6,2,Ambulance,108,https://tripurahealth.gov.in/,2026-01-05T18:00:00.000Z
Tripura,Kailasahar District Hospital,6,60,5,1,State Control Room,104,https://tripurahealth.gov.in/,2026-01-05T18:00:00.000Z
Tripura,Bishalgarh District Hospital,6,60,5,1,Ambulance,108,https://tripurahealth.gov.in/,2026-01-05T18:00:00.000Z
Tripura,Teliamura CHC,6,60,5,1,Ambulance,108,https://tripurahealth.gov.in/,2026-01-05T18:00:00.000Z
Tripura,Ambassa CHC,6,60,5,1,State Control Room,104,https://tripurahealth.gov.in/,2026-01-05T18:00:00.000Z

Uttarakhand,AIIMS Rishikesh,20,140,16,6,Ambulance,108,https://health.uk.gov.in/,2026-01-05T18:00:00.000Z
Uttarakhand,GMC Haldwani,16,120,14,5,Ambulance,108,https://health.uk.gov.in/,2026-01-05T18:00:00.000Z
Uttarakhand,Doon Medical College Dehradun,14,100,12,4,State Control Room,104,https://health.uk.gov.in/,2026-01-05T18:00:00.000Z
Uttarakhand,GMCH Rishikesh,12,90,10,3,Ambulance,108,https://health.uk.gov.in/,2026-01-05T18:00:00.000Z
Uttarakhand,Civil Hospital Haridwar,12,90,10,3,Ambulance,108,https://health.uk.gov.in/,2026-01-05T18:00:00.000Z
Uttarakhand,CHC Dehradun,10,80,8,2,State Control Room,104,https://health.uk.gov.in/,2026-01-05T18:00:00.000Z
Uttarakhand,CHC Almora,8,70,6,2,Ambulance,108,https://health.uk.gov.in/,2026-01-05T18:00:00.000Z
Uttarakhand,CHC Nainital,8,70,6,2,Ambulance,108,https://health.uk.gov.in/,2026-01-05T18:00:00.000Z

Himachal Pradesh,IGMC Shimla,12,90,10,3,Ambulance,108,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Dr RPGMC Tanda,10,80,8,3,Ambulance,108,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Zonal Hospital Dharamshala,8,70,6,2,State Control Room,104,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Zonal Hospital Hamirpur,8,70,6,2,Ambulance,108,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Civil Hospital Solan,6,60,5,1,Ambulance,108,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Civil Hospital Una,6,60,5,1,Ambulance,108,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Civil Hospital Mandi,6,60,5,1,State Control Room,104,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z
Himachal Pradesh,Civil Hospital Nahan,6,60,5,1,Ambulance,108,https://himachal.nic.in/health/,2026-01-05T18:00:00.000Z

Chhattisgarh,AIIMS Raipur,24,170,22,8,Ambulance,108,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Mekahara Hospital Raipur,16,120,14,5,Ambulance,108,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Bilaspur Medical College,14,100,12,4,State Control Room,104,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Rajnandgaon Medical College,12,90,10,3,Ambulance,108,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Jagdalpur Medical College,10,80,8,2,Ambulance,108,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Ambikapur Medical College,9,70,7,2,State Control Room,104,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Kanker District Hospital,8,60,6,2,Ambulance,108,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z
Chhattisgarh,Durg District Hospital,8,60,6,2,Ambulance,108,https://health.cg.gov.in/,2026-01-05T18:00:00.000Z

Sikkim,STNM Gangtok,12,90,10,3,Ambulance,108,https://health.sikkim.gov.in/,2026-01-05T18:00:00.000Z
Sikkim,Sikkim Manipal Hospital,10,80,8,3,State Control Room,104,https://health.sikkim.gov.in/,2026-01-05T18:00:00.000Z
Sikkim,Central Referral Hospital,8,70,6,2,Ambulance,108,https://health.sikkim.gov.in/,2026-01-05T18:00:00.000Z
Sikkim,Ravangla District Hospital,8,70,6,2,Ambulance,108,https://health.sikkim.gov.in/,2026-01-05T18:00:00.000Z
Sikkim,Gangtok District Hospital,6,60,5,1,State Control Room,104,https://health.sikkim.gov.in/,2026-01-05T18:00:00.000Z
Sikkim,Namchi Civil Hospital,6,60,5,1,Ambulance,108,https://health.sikkim.gov.in/,2026-01-05T18:00:00.000Z
